dataset,dataset_kind,ablation,model,status,n_nodes,n_features,n_train,n_test,n_anomalies_total,n_anomalies_train,n_anomalies_test,runtime_sec,json_file,roc_auc,pr_auc,k_at_pos,hits_at_pos,precision_at_k_at_pos,recall_at_k_at_pos,hits_at_k_at_pos,k_at_1pct,hits_at_1pct,precision_at_k_at_1pct,recall_at_k_at_1pct,hits_at_k_at_1pct,k_at_5pct,hits_at_5pct,precision_at_k_at_5pct,recall_at_k_at_5pct,hits_at_k_at_5pct
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,degree_only,RandomForest,ok,5881,9,4704,1177,591,473,118,1.26485013961792,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__degree_only__RandomForest.json,0.8660952929690626,0.6167577583408678,118,70,0.5932203389830508,0.5932203389830508,1.0,11,11,1.0,0.09322033898305085,1.0,58,46,0.7931034482758621,0.3898305084745763,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,full,ExtraTrees,ok,5881,21,4704,1177,591,473,118,0.6176114082336426,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__full__ExtraTrees.json,0.9998879659416462,0.9990037409459999,118,115,0.9745762711864406,0.9745762711864406,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,full,GradientBoosting,ok,5881,21,4704,1177,591,473,118,1.6837098598480225,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__full__GradientBoosting.json,0.9998479537779484,0.9985460223790268,118,116,0.9830508474576272,0.9830508474576272,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,full,IsolationForest,ok,5881,21,4704,1177,591,473,118,0.641533374786377,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__full__IsolationForest.json,0.9294585554008419,0.44781862257388844,118,47,0.3983050847457627,0.3983050847457627,1.0,11,5,0.45454545454545453,0.0423728813559322,1.0,58,26,0.4482758620689655,0.22033898305084745,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,full,LogisticRegression,ok,5881,21,4704,1177,591,473,118,0.035250186920166016,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__full__LogisticRegression.json,0.999943982970823,0.9995102806335093,118,116,0.9830508474576272,0.9830508474576272,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,full,RandomForest,ok,5881,21,4704,1177,591,473,118,1.1714074611663818,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__full__RandomForest.json,0.999839951345209,0.9985768894385025,118,115,0.9745762711864406,0.9745762711864406,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,no_degree_struct,ExtraTrees,ok,5881,12,4704,1177,591,473,118,0.7259624004364014,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__no_degree_struct__ExtraTrees.json,0.9998719610761672,0.9988510192310367,118,115,0.9745762711864406,0.9745762711864406,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,no_degree_struct,GradientBoosting,ok,5881,12,4704,1177,591,473,118,0.7948038578033447,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__no_degree_struct__GradientBoosting.json,0.9998639586434277,0.9987680814931741,118,116,0.9830508474576272,0.9830508474576272,1.0,11,11,1.0,0.09322033898305085,1.0,58,58,1.0,0.4915254237288136,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,no_degree_struct,IsolationForest,ok,5881,12,4704,1177,591,473,118,0.7316796779632568,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__no_degree_struct__IsolationForest.json,0.9457675133240505,0.530311363182488,118,57,0.4830508474576271,0.4830508474576271,1.0,11,6,0.5454545454545454,0.05084745762711865,1.0,58,32,0.5517241379310345,0.2711864406779661,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,no_degree_struct,LogisticRegression,ok,5881,12,4704,1177,591,473,118,0.03639793395996094,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__no_degree_struct__LogisticRegression.json,0.9993998175445334,0.992996864137603,118,116,0.9830508474576272,0.9830508474576272,1.0,11,11,1.0,0.09322033898305085,1.0,58,57,0.9827586206896551,0.4830508474576271,1.0
