stage,dataset,contamination,base_group,group,top_k,jaccard_with_all_numeric,intersection,base_size,group_size,top_csv
ts_kkt_day_level,ts_kkt_47_11,0.03,all_numeric,turnover,200,0.0,0,60,83,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_turnover_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,all_numeric,200,1.0,60,60,60,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,bills_items,200,0.0,0,60,70,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_bills_items_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,core_daily,200,0.0,0,60,37,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_core_daily_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,payment_mix,200,0.0,0,60,41,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_payment_mix_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,peer_deviation,200,0.0,0,60,25,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_peer_deviation_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,rolling_deviation,200,0.0,0,60,94,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_rolling_deviation_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,turnover,200,0.0,0,60,83,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_turnover_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,all_numeric,200,1.0,82,82,82,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_all_numeric_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,bills_items,200,0.0,0,82,41,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_bills_items_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,core_daily,200,0.009259259259259259,1,82,27,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_core_daily_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,payment_mix,200,0.03787878787878788,5,82,55,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_payment_mix_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,peer_deviation,200,0.00909090909090909,1,82,29,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_peer_deviation_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,rolling_deviation,200,0.005681818181818182,1,82,95,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_rolling_deviation_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,turnover,200,0.005681818181818182,1,82,95,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_turnover_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,all_numeric,200,1.0,82,82,82,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_all_numeric_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,bills_items,200,0.0,0,82,41,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_bills_items_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,core_daily,200,0.009259259259259259,1,82,27,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_core_daily_contam_0.03__top_kkt_days.csv
