dataset,regime,ablation,model,status,error,n_nodes,n_edges_perturbed,n_features,n_train,n_test,n_anomalies_total,n_anomalies_train,n_anomalies_test,runtime_sec,json_file,roc_auc,pr_auc,k_at_pos,hits_at_pos,precision_at_k_at_pos,recall_at_k_at_pos,hits_at_k_at_pos,k_at_1pct,hits_at_1pct,precision_at_k_at_1pct,recall_at_k_at_1pct,hits_at_k_at_1pct,k_at_5pct,hits_at_5pct,precision_at_k_at_5pct,recall_at_k_at_5pct,hits_at_k_at_5pct,k_at_10pct,hits_at_10pct,precision_at_k_at_10pct,recall_at_k_at_10pct,hits_at_k_at_10pct
FraudAmazon,attr_dropout_50,full,GradientBoosting,ok,,11944,9557648,48,6910,1729,821,637,184,8.625000953674316,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__full__GradientBoosting.json,0.9870638103278457,0.929967924063689,184,160,0.8695652173913043,0.8695652173913043,1.0,17,17,1.0,0.09239130434782608,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,155,0.9011627906976745,0.842391304347826,1.0
FraudAmazon,attr_dropout_50,full,IsolationForest,ok,,11944,9557648,48,6910,1729,821,637,184,0.8519995212554932,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__full__IsolationForest.json,0.8258407204164907,0.2888128225691044,184,62,0.33695652173913043,0.33695652173913043,1.0,17,0,0.0,0.0,0.0,86,21,0.2441860465116279,0.11413043478260869,1.0,172,59,0.3430232558139535,0.32065217391304346,1.0
FraudAmazon,attr_dropout_50,full,LogisticRegression,ok,,11944,9557648,48,6910,1729,821,637,184,0.10200023651123047,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__full__LogisticRegression.json,0.9763507809202194,0.884237850999927,184,156,0.8478260869565217,0.8478260869565217,1.0,17,16,0.9411764705882353,0.08695652173913043,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,151,0.877906976744186,0.8206521739130435,1.0
FraudAmazon,attr_dropout_50,full,RandomForest,ok,,11944,9557648,48,6910,1729,821,637,184,1.703995704650879,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__full__RandomForest.json,0.9732306177008583,0.9175306695093995,184,158,0.8586956521739131,0.8586956521739131,1.0,17,17,1.0,0.09239130434782608,1.0,86,85,0.9883720930232558,0.46195652173913043,1.0,172,154,0.8953488372093024,0.8369565217391305,1.0
FraudAmazon,attr_dropout_50,no_degree_struct,ExtraTrees,ok,,11944,9557648,14,6910,1729,821,637,184,0.7450013160705566,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__no_degree_struct__ExtraTrees.json,0.729439285211763,0.22583060344786282,184,51,0.27717391304347827,0.27717391304347827,1.0,17,4,0.23529411764705882,0.021739130434782608,1.0,86,24,0.27906976744186046,0.13043478260869565,1.0,172,50,0.29069767441860467,0.2717391304347826,1.0
FraudAmazon,attr_dropout_50,no_degree_struct,GradientBoosting,ok,,11944,9557648,14,6910,1729,821,637,184,2.8399994373321533,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__no_degree_struct__GradientBoosting.json,0.7705554383002673,0.2774076437287478,184,59,0.32065217391304346,0.32065217391304346,1.0,17,8,0.47058823529411764,0.043478260869565216,1.0,86,31,0.36046511627906974,0.16847826086956522,1.0,172,55,0.31976744186046513,0.29891304347826086,1.0
FraudAmazon,attr_dropout_50,no_degree_struct,IsolationForest,ok,,11944,9557648,14,6910,1729,821,637,184,0.7679994106292725,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__no_degree_struct__IsolationForest.json,0.43192451104544816,0.08776226168411529,184,6,0.03260869565217391,0.03260869565217391,1.0,17,0,0.0,0.0,0.0,86,2,0.023255813953488372,0.010869565217391304,1.0,172,6,0.03488372093023256,0.03260869565217391,1.0
FraudAmazon,attr_dropout_50,no_degree_struct,LogisticRegression,ok,,11944,9557648,14,6910,1729,821,637,184,0.04199957847595215,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__no_degree_struct__LogisticRegression.json,0.7648462783171521,0.24869245257612874,184,55,0.29891304347826086,0.29891304347826086,1.0,17,6,0.35294117647058826,0.03260869565217391,1.0,86,23,0.26744186046511625,0.125,1.0,172,49,0.28488372093023256,0.266304347826087,1.0
FraudAmazon,attr_dropout_50,no_degree_struct,RandomForest,ok,,11944,9557648,14,6910,1729,821,637,184,1.5779938697814941,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__no_degree_struct__RandomForest.json,0.7348723089911355,0.24061234790597769,184,57,0.30978260869565216,0.30978260869565216,1.0,17,3,0.17647058823529413,0.016304347826086956,1.0,86,26,0.3023255813953488,0.14130434782608695,1.0,172,53,0.3081395348837209,0.28804347826086957,1.0
FraudAmazon,attr_dropout_50,struct_only,ExtraTrees,ok,,11944,9557648,23,6910,1729,821,637,184,1.0090031623840332,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__struct_only__ExtraTrees.json,0.7868844097368791,0.35350604750826586,184,73,0.3967391304347826,0.3967391304347826,1.0,17,9,0.5294117647058824,0.04891304347826087,1.0,86,40,0.46511627906976744,0.21739130434782608,1.0,172,70,0.4069767441860465,0.3804347826086957,1.0
