expected_stage,actual_stage,dataset,group,contamination,expected_json,json_exists,status,n_features,n_rows,n_devices,runtime_sec,ranked_csv_exists,top_csv_exists,device_csv_exists,ranked_csv,top_csv,device_csv,error
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,turnover,0.03,agg__agg_kkt_47_19_turnover_contam_0.03.json,True,ok,107,15491,,6.829000949859619,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,turnover,0.05,agg__agg_kkt_47_19_turnover_contam_0.05.json,True,ok,107,15491,,7.225000381469727,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,bills,0.01,agg__agg_kkt_47_19_bills_contam_0.01.json,True,ok,11,15491,,11.201002836227417,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,bills,0.03,agg__agg_kkt_47_19_bills_contam_0.03.json,True,ok,11,15491,,11.644999027252197,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,bills,0.05,agg__agg_kkt_47_19_bills_contam_0.05.json,True,ok,11,15491,,11.84800100326538,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,items_price,0.01,agg__agg_kkt_47_19_items_price_contam_0.01.json,True,ok,8,15491,,15.869001626968384,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,items_price,0.03,agg__agg_kkt_47_19_items_price_contam_0.03.json,True,ok,8,15491,,13.699999332427979,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.03__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,items_price,0.05,agg__agg_kkt_47_19_items_price_contam_0.05.json,True,ok,8,15491,,13.712997674942017,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.05__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,payment_mix,0.01,agg__agg_kkt_47_19_payment_mix_contam_0.01.json,True,ok,22,15491,,7.980997800827026,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.01__top_anomalies.csv,,
agg_kkt_level,agg_kkt_level,agg_kkt_47_19,payment_mix,0.03,agg__agg_kkt_47_19_payment_mix_contam_0.03.json,True,ok,22,15491,,8.157999992370605,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.03__top_anomalies.csv,,
