kkt_id,ts_final_score,ts_best_device_score,ts_mean_device_score,ts_max_daily_score,ts_total_anomaly_days,ts_total_days,ts_n_appearances
4efa9d40658eecf67c89fdf0323c755b,1.0,1.0,0.8916010181544858,1.0,764,92,21
4f051b6ed5cb9ea40d91cb971c96da5f,1.0,1.0,0.9639651801528422,1.0,1025,92,21
89866b9455359f5fda7d29d3799fe763,1.0,1.0,0.9708673342853258,1.0,1257,92,21
4fd20bf907ca9eb3852c5c4673a031e3,1.0,1.0,0.794285172906384,1.0,1447,92,21
5d555ffb81fe243174f2b5fe08435bdf,1.0,1.0,0.9209868553561322,1.0,783,92,21
5da0e00a9fa6588abc473102c0c41881,1.0,1.0,0.8136339867438954,1.0,1145,92,21
1fad8378a4053acebbf27a8f0dd4b922,1.0,1.0,0.9010698041442008,1.0,832,92,21
da927b20ff95daf0449bbdcd8911077f,1.0,1.0,0.8902572637581537,1.0,684,92,21
04ced0f0022645c6eeb403a0d20b0fdd,1.0,1.0,0.7677486247328217,1.0,1304,92,21
04d04a4d320612013780f73ff3468a87,1.0,1.0,0.9171583804837382,1.0,719,92,21
1f97138fc886731dde3edfa957a54bf5,1.0,1.0,0.869521007689649,1.0,705,92,21
e214fdc666cd2f68bb7c71c3425b768d,1.0,1.0,0.94634245378475,1.0,683,92,21
507d02eb205cdeba796879e32045ba37,1.0,1.0,0.8748958348491991,1.0,919,92,21
8aef53c09ade5ea52efdea200e13eb0d,1.0,1.0,0.935766117546434,1.0,1688,92,21
5395064a9fa118457756245953dbf510,1.0,1.0,0.8802657257738037,1.0,1241,92,21
1d51c3f2280a34a78f8ad75ebed15d8c,1.0,1.0,0.944677749254807,1.0,894,92,21
8e3f4c8baf562a07e960f3018e82018c,1.0,1.0,0.8944383865016021,1.0,691,92,21
8c1a4e1c07d74136a0b8c74b68a6619b,1.0,1.0,0.8637730539204259,1.0,892,92,21
5a84ce007920eb458de7877776d83b78,1.0,1.0,0.8825846536361219,1.0,962,92,21
560114a3481c264bd225aa66d44741db,1.0,1.0,0.887378732473818,1.0,956,92,21
562da1a723b03308bd30eb4611a0fdcd,1.0,1.0,0.8106624514242056,1.0,1036,92,21
dc7cdcbd4905d33269bd25c8c383ae2d,1.0,1.0,0.879582040434701,1.0,964,92,21
567cdb9e3611d2f951d5efb083afd743,1.0,1.0,0.8788062774556147,1.0,947,92,21
05ea40a5050c68fd2a2276927e9d2749,1.0,1.0,0.8248197413334097,1.0,757,92,21
56ce1f0ca48057ac368de6a92e471b91,1.0,1.0,0.8518007745693245,1.0,826,92,21
5797fd049e5e39ee588af63d481b9d8a,1.0,1.0,0.9033642985761156,1.0,734,92,21
5abede65f4bb143d0cdfb2d8a438a716,1.0,1.0,0.9267347306255972,1.0,1049,92,21
8dc5935a4e66cd1907ff9c2df064ff12,1.0,1.0,0.8653131619234461,1.0,838,92,21
57a720ca42239c70e5b1c950935d4810,1.0,1.0,0.8747002721237662,1.0,696,92,21
dc924a3f3cd3436766fd3e564f69d47b,1.0,1.0,0.8583509930474826,1.0,704,92,21
ddf40b32f568900fd128e828efc79c70,1.0,1.0,0.864765130063389,1.0,693,92,21
58b5c2b1995bd006b081d2f26164f932,1.0,1.0,0.759635087368545,1.0,1249,92,21
dc978bcbb6686f0e70c173d2367e131a,1.0,1.0,0.9741991838706576,1.0,1252,92,21
8c6e521eb6fe5b4371bd39dafb5f41ca,1.0,1.0,0.91755882591643,1.0,975,92,21
8cf9fe30b424cedb8d194504dd89971c,1.0,1.0,0.9546375890342677,1.0,1190,92,21
1479a17aa0252e5e81b86951b008f794,1.0,1.0,0.9190726311571356,1.0,705,92,21
1ebc5bf378d5f2a5233ba9c07692038b,1.0,1.0,0.861738584597356,1.0,1013,92,21
53a98898377bebefa1f5c42b90da4ba2,1.0,1.0,0.9524856937926564,1.0,1051,92,21
8ba1afe76a00b1f723544adab2157f92,1.0,1.0,0.8591047384053894,1.0,757,92,21
bd8ad1bfaa8822bb900649dab42d182f,1.0,1.0,0.8709157818119243,1.0,744,92,21
e02d4e4b819382c59192511d95e867af,1.0,1.0,0.941156240337253,1.0,958,92,21
8af0a218fdb7a5f0f554d31c8e012f03,1.0,1.0,0.8620367145841512,1.0,948,92,21
1eed1be8417a5668980ae5ce6c15c5c6,1.0,1.0,0.7816920202737412,1.0,1043,92,21
e005c9555f026894bd692985cd82cded,1.0,1.0,0.8577680203828129,1.0,952,92,21
bdbe526201d4a2ec191b5b989a5a77c5,1.0,1.0,0.9012220340562028,1.0,901,92,21
145c6edb99f95297ff2ae3901de44dc2,1.0,1.0,0.8123610741520887,1.0,1437,92,21
54837c4f37789d978438c5162f804c5c,1.0,1.0,0.8593365094790587,1.0,727,92,21
54d8192cf17ba177e55caea5a3c8c72c,1.0,1.0,0.8823898181782178,1.0,944,92,21
5581ff442aea8e98d839e60edd2855dc,1.0,1.0,0.7729001730280252,1.0,1346,92,21
54e9171e27e797b56c39299ec56a0f7a,1.0,1.0,0.8594561594640171,1.0,735,92,21
550f636e4cee91ddd256bfd99ba48156,1.0,1.0,0.8501831119774738,1.0,695,92,21
df7bf8197dbf17f2d36619972f97b7f5,1.0,1.0,0.962372636656794,1.0,814,92,21
551ec42bfcf04ae7f97ebe2ce2c71fc1,1.0,1.0,0.935558287321376,1.0,728,92,21
bdec61915657aef18856c082243110ff,1.0,1.0,0.8065998341474112,1.0,1428,92,21
1ec7db33b5735d3b60844d803aa70905,1.0,1.0,0.7562344851073073,1.0,1296,92,21
5b1745391c399e89d204824f104d1d37,1.0,1.0,0.8732363835166745,1.0,1178,92,21
5b0faeefebe4a3cadf4966455b5da264,1.0,1.0,0.8890595807189546,1.0,773,92,21
e332196be17bac0115bd56213c895cd1,1.0,1.0,0.7880354844740775,1.0,1332,92,21
4e7aefc7ee1ee6e5e07bb1ceab122deb,1.0,1.0,0.886314110272076,1.0,952,92,21
b8fb2a90480b6df8e9a79a4e847483ef,1.0,1.0,0.7617707883240983,1.0,1202,92,21
9506938939253181c7d25de123721f1e,1.0,1.0,0.7705374479004676,1.0,1382,92,21
210dbdf992be65b6162986d9f39aa0a4,1.0,1.0,0.7599874186016412,1.0,1201,92,21
49be68ca4e04ec800f28211f620b04d8,1.0,1.0,0.9498914107073226,1.0,674,92,21
49c06f81f153454e7641f87070f8baa3,1.0,1.0,0.9152358688318524,1.0,935,92,21
d8794fdc027e466b40ef2cfcf75aa15b,1.0,1.0,0.9265555388923769,1.0,1107,92,21
d8929a622832419464e3400473953e3d,1.0,1.0,0.936300123395647,1.0,792,92,21
60ebd9062309aa6ef05b719ec5dc158d,1.0,1.0,0.7732864602138165,1.0,1369,92,21
c1f334eaf7d148b18a7f4bb008cd6abe,1.0,1.0,0.9405405109973134,1.0,1307,92,21
955e84fd80ee7a5a82258763fbb9d05c,1.0,1.0,0.9591119058916172,1.0,962,92,21
606747c54c74405dc255cc9dd1df9f43,1.0,1.0,0.9600976540800206,1.0,1031,92,21
e6fb6f93720ff08f01eb8d2f3129cff4,1.0,1.0,0.7906786269530401,1.0,1153,92,21
4aac75515420a03fdd68ba854e8db2e8,1.0,1.0,0.8279409117226619,1.0,876,92,21
